Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
507 WEST 149 STREET,3,6,6,17.5,99.92,18,50,1928,E,0,0
61 WEST 68 STREET,4,16,16,36,100.42,36,65,1910,E,1969,0
169 WEST 85 STREET,4,10,10,18.75,102.17,19,62,1900,E,1974,0
2420 AMSTERDAM AVENUE,1,0,1,100,150,74,34,1971,,2012,0
117 WEST 116 STREET,6,16,17,41.67,100.92,41.67,87,1920,E,1991,0
136 WEST 75 STREET,6,30,30,63,102.17,63,87,1940,E,1980,0
11 MT MORRIS PARK WEST,4.5,17,17,25.92,78,29,60,1909,,0,0
25 WEST 132 STREET,16,286,286,265,277,78,232,1959,,0,0
329 WEST 4 STREET,3,1,1,22,55,22,35,1910,E,2001,0
407 AUDUBON AVENUE,5,30,30,53,95,53,80,1915,,0,0
1382 1 AVENUE,6,17,18,24.5,113,25,93,1910,,0,0
2108 5 AVENUE,5,4,4,16.58,76.67,16.58,55,1910,,0,0
212 EAST 6 STREET,2,0,1,50,97,50,97,1920,,0,0
80 NASSAU STREET,4,10,12,85.83,102.58,85,100,1900,,0,0
404 EAST 87 STREET,4,0,1,22,100.67,22,75,1920,E,1989,0
208 EAST 32 STREET,3,8,8,0.03,0,0,0,1920,E,0,0
190 EDGECOMBE AVENUE,3,8,8,18.25,82.17,18,37,1930,E,0,0
1380 3 AVENUE,5,16,17,25.5,100,26,76,1910,,1986,0
507 WEST 25 STREET,1,0,1,50,197.5,50,127,1942,,0,0
641 COLUMBUS AVENUE,22,168,169,201.42,175,184,112,1972,,1988,0
49 MARBLE HILL AVENUE,2,1,1,18.75,65,18.75,34,1920,E,0,0
50 LISPENARD STREET,7,5,6,25,93.45,25,84,1895,,0,0
469 WEST 143 STREET,5,1,1,18,99.92,18,59,1899,E,0,0
116 EAST 57 STREET,5,0,6,20,100.42,20,65,1920,E,0,0
426 AUDUBON AVENUE,5,29,29,50,100,50,86,1923,,1989,0
530 WEST 157 STREET,6,30,30,100,99.92,100,86,1915,E,0,0
261 WEST 139 STREET,4,2,2,19,99.92,19,54,1920,,2008,0
364 WEST 52 STREET,5,12,12,25,100.42,25,80,1920,,0,0
216 EAST 118 STREET,6,18,18,37.08,100.92,37,88,1900,E,1991,0
1665 PARK AVENUE,0,0,0,50.5,90,0,0,0,,0,0
77 CHAMBERS STREET,5,0,6,25,75,25,75,1915,,0,0
715 EAST 5 STREET,5,20,20,25,97,24,84,1900,E,1985,0
700 COLUMBUS AVENUE,20,195,201,201.42,150,192,130,1968,,0,0
2600 7 AVENUE,1,0,1,199.83,100,60,30,1963,E,1997,0
5 CHATHAM SQUARE,4,0,2,25.33,135.83,25,135,1913,E,0,0
514 WEST 122 STREET,6,24,24,50,95.92,50,82.67,1910,,0,0
190 HESTER STREET,6,20,22,25,100,25,89,1910,E,0,0
323 EAST 10 STREET,5,12,12,25,94.75,25,76,1900,E,1987,0
337 WEST 76 STREET,5,16,16,32,80,32,55,1900,,1950,2004
100 WEST 141 STREET,7,53,56,99.92,120,94.92,117,1920,E,0,0
829 WEST 181 STREET,6,79,84,104.67,164.5,104,162,1920,,1989,0
351 AUDUBON AVENUE,6,48,48,104.92,100,104.92,90,1909,,1958,0
1245 ST NICHOLAS AVENUE,6,38,43,94.5,100,94,90,1906,,1989,0
498 WEST 130 STREET,0,0,0,25,49.83,0,0,0,,0,0
311 EAST 14 STREET,4,12,13,23.25,103.25,23,56,1910,E,0,0
421 EAST 118 STREET,3,3,3,16.67,60,16.67,45,1909,E,2004,0
37 EAST 4 STREET,4,10,10,25.75,82.08,26,74,1900,E,2006,2009
209 WEST 135 STREET,5,9,9,25,99.92,25,71,1910,E,2007,0
530 RIVERSIDE DRIVE,6,52,52,120,86,120,73,1926,E,1987,0
422 EAST 83 STREET,5,16,16,25,102.17,25,67,1930,E,0,0
430 3 AVENUE,5,8,9,25,95,25,95,1910,E,0,0
84 HUDSON STREET,7,36,38,115.58,115.25,115.58,85,1915,,1982,0
1111 1 AVENUE,5,14,15,25.42,91,25,90,1910,,0,0
616 WEST 184 STREET,5,20,21,100,50,88,49,1910,E,1986,0
1025 PARK AVENUE,5,10,10,60,107.75,59,67,1924,E,1987,0
31 MORTON STREET,3,2,2,30,20,20,20,1901,E,2001,0
6 WEST 9 STREET,3,1,1,22.25,93.92,22,92,1920,,1980,2009
341 EAST 104 STREET,4,8,8,25,100.92,25,54,1910,,0,0
371 EAST 62 STREET,4,5,6,16,68.42,16,69,1910,,1985,0
273 WEST 38 STREET,5,0,3,36,98.75,36,88,1930,E,1988,1999
208 EAST 30 STREET,3,2,2,18.75,98.75,18.75,60,1901,E,0,0
157 EAST 106 STREET,4,8,8,28.25,100.92,0,0,1900,E,0,0
261 WEST 47 STREET,4,0,3,75,126,75,126,1926,,2004,0
316 WEST 14 STREET,4,20,22,25,103.25,25,66,1910,E,0,0
1624 YORK AVENUE,3,3,3,17,73.5,17,45,1901,E,0,0
781 8 AVENUE,4,0,2,19.58,100,20,98,1920,E,0,0
137 CHRISTOPHER STREET,0,0,0,21,64,0,0,0,,0,0
56 EAST 126 STREET,4,3,3,20,99.92,20,50,1900,,2007,0
50 WEST 72 STREET,18,210,213,107,102.17,107,102,1927,,0,0
323 BROOME STREET,5,4,7,25,76.58,25,43,1910,E,0,0
248 FRONT STREET,5,5,5,19.25,63.5,19,60,1900,E,0,0
362 WEST BROADWAY,6,6,7,45.25,68.17,46,66,1900,E,1972,0
30 WEST 12 STREET,5,6,7,25,103.25,25,99,1900,E,0,0
2157 ADAM C POWELL BLVD,0,0,0,19,75,0,0,0,,0,0
142 WEST 109 STREET,5,13,13,25,100.92,25,85,1920,E,0,0
980 PARK AVENUE,5,0,1,78.92,58.33,79,47,1930,E,1989,0
119 WEST 137 STREET,5,10,10,25,99.92,25,80,1910,E,0,0
33 BLEECKER STREET,6,10,13,75,74,75,74,1900,E,1981,0
255 WEST 143 STREET,1,0,0,100,199.83,0,20.33,1965,,0,0
42 GREENE STREET,5,0,11,110.75,100,111,95,1900,E,2012,2015
166 EAST 7 STREET,5,9,9,20,90.83,20,60,1900,,0,0
234 WEST 44 STREET,11,0,21,56.75,100.42,56.75,90,1927,,0,0
629 WEST 138 STREET,5,20,20,50,99.92,50,87,1900,E,1986,0
225 BROADWAY,44,0,146,100.67,165.83,101,164,1927,,0,0
113 ST MARKS PLACE,5,10,12,25,93.92,25,52,1900,E,1987,0
855 LEXINGTON AVENUE,4,1,4,16.5,80,16.5,80,1910,E,0,0
7 EAST 72 STREET,6,0,1,28,102.17,28,83,1910,E,2006,0
3 WEST 123 STREET,3,4,4,19,100.92,19,65,1909,,1985,0
305 EAST 45 STREET,24,338,348,125,200.83,125,201,1929,,1977,0
41 WEST 36 STREET,5,0,5,20,98.75,20,96,1935,E,0,0
2919 FREDRICK DOUGLASS BL,5,9,10,25,100,25,85,1910,E,2008,2003
149 EAST 33 STREET,4,7,7,19,62.67,19,36,1910,E,0,0
17 CATHERINE STREET,6,32,35,54.33,110.33,54,98,1900,E,0,0
405 BROADWAY,5,3,5,25,103.2,25,98,1915,,0,0
24 BETHUNE STREET,4,3,3,15.92,80.42,16,49,1905,,0,0
397 WEST 12 STREET,9,5,5,66,89.83,66,59.79,2007,,0,0
WEST 134 STREET,0,0,0,47,99.92,0,0,0,,0,0
10 GREENE STREET,5,0,5,28.17,100.42,28,90,1930,E,0,0
103 LENOX AVENUE,6,31,37,100.92,100,100,92,1920,E,1980,0
53 DOWNING STREET,5,6,6,28.92,60.58,20.25,55,1900,E,2008,0
236 EAST 83 STREET,2,0,1,22.83,102.17,23.83,102,1920,E,0,0
990 2 AVENUE,4,4,5,20.83,71,20.83,50,1900,E,0,2009
,0,0,0,0,0,0,0,0,,0,0
570 PARK AVENUE,13,52,56,100.42,128.75,100,118,1916,,1987,0
410 WEST 147 STREET,3,3,3,17.5,99.92,17.5,55,1899,E,0,0
WEST 166 STREET,0,0,0,25,106.25,0,0,0,,0,0
455 WEST 147 STREET,3,3,3,18.75,99.92,18.75,45,1899,E,0,0
407 WEST 145 STREET,5,15,16,40,99.92,40,85,1926,E,2004,0
1641 AMSTERDAM AVENUE,7,132,136,199.83,35,200,31,1946,,0,0
243 WEST 100 STREET,4,4,4,15,100.92,15,56,1899,E,1998,0
155 EAST 29 STREET,35,279,284,148.08,120,20,24,1981,,0,0
408 WEST 130 STREET,6,83,83,144.5,99.92,135,82,1926,E,1985,0
943 LEXINGTON AVENUE,11,21,21,100.42,75,90,72,1924,,1988,0
20 FT CHARLES PLACE,2,2,2,37.5,70.75,24,50.08,1920,E,0,0
347 WEST BROADWAY,7,0,3,25,100,25,90,1910,,0,0
127 EAST 30 STREET,19,71,71,62,98.75,0,0,1988,,0,0
349 WEST 84 STREET,5,4,4,17,102.17,17,69,1920,E,1966,0
30 SEAMAN AVENUE,5,74,74,155.75,102.08,155.75,88,1926,,0,0
570 5 AVENUE,7,0,8,20.67,100,21,94,1940,E,1966,0
1339 3 AVENUE,4,12,13,38.33,75,38.33,45,1910,,0,0
114 EAST 71 STREET,7,18,22,50,100.42,50,84,1920,,0,0
856 WEST END AVENUE,3,8,8,16,72,16,61,1900,E,0,0
221 EAST 105 STREET,0,0,0,40,100.92,0,0,0,,0,0
439 WEST 43 STREET,3,2,2,18.5,100.42,18.5,46,1899,E,0,0
9 MOTT STREET,7,0,14,47.5,97.67,48,98,1920,E,2006,0
30 EAST 20 STREET,7,0,22,40,92,40,86,1915,,0,0
1470 AMSTERDAM AVENUE,20,1272,1272,754.5,419.67,0,0,1959,,1960,0
ST NICHOLAS AVENUE,0,0,0,81.42,60.5,0,0,0,,0,0
224 7 AVENUE,4,0,5,24.67,80,25,80,1880,E,1989,0
2169 3 AVENUE,1,0,1,25,100,25,100,1990,,1963,0
383 WEST BROADWAY,6,9,11,55,200.08,55,198,1900,E,1980,2009
336 EAST 71 STREET,5,30,30,75,100.42,75,62,1910,E,0,0
154 WEST 17 STREET,6,0,1,12,128.33,12,70,1910,,1987,2002
46 WEST 46 STREET,5,0,5,20,100.42,20,100,1920,E,0,0
409 WEST 220 STREET,0,0,0,150,177,0,0,0,,0,0
514 WEST 25 STREET,4,1,4,20,98.75,20,98.75,1900,,1988,2004
26 EAST 23 STREET,2,0,1,24.67,98.75,25,96,1928,,2008,0
110 EAST 42 STREET,18,0,6,154.5,197.5,0,0,1921,,0,0
342 EAST 11 STREET,5,8,9,36,69.83,36,68,1900,E,1983,0
1721 PARK AVENUE,3,0,1,50.42,90,50,90,1925,,0,0
244 EAST 68 STREET,4,1,1,16.67,100,16.67,48,1899,E,0,0
140 EAST 19 STREET,5,1,1,23.5,92,23.5,60,1910,E,0,0
205 EAST 14 STREET,5,19,19,29,103.25,29,92,1900,E,1988,0
24 EAST 64 STREET,6,0,9,21,100.42,21,80,1910,E,0,0
142 EAST 117 STREET,5,8,10,24,100.92,24,96,1900,E,0,0
241 LAFAYETTE STREET,6,6,7,25.33,99.75,25,100,1900,E,0,0
21 WEST 26 STREET,3,0,1,25,98.75,25,92,1920,E,0,0
287 BLEECKER STREET,5,8,10,24.58,75,25,66,1900,E,1963,0
630 WEST 138 STREET,3,3,3,14,99.92,14,46,1900,,1999,0
228 EAST 11 STREET,4,6,6,16.67,89.58,17,55,1900,E,1984,2005
536 WEST 143 STREET,6,25,25,37.5,99.92,37,86,1920,E,1988,0
76 PINEHURST AVENUE,5,27,27,50,115.58,50,94,1920,E,1988,0
809 LEXINGTON AVENUE,5,5,7,17,70,17,70,1900,,1989,2012
155 WEST 12 STREET,3,2,2,20.83,103.25,20.83,41.25,1910,E,1992,0
116 EAST 97 STREET,4,0,2,75,100.92,75,100,1940,E,1981,0
160 CLAREMONT AVENUE,6,76,76,150,102.5,150,85,1926,E,1988,0
510 WEST 143 STREET,0,0,0,18.75,99.92,0,0,0,,0,0
2283 3 AVENUE,7,18,19,75.92,100,76,100,2006,,0,0
1605 2 AVENUE,4,6,8,25,73.17,25,61,1915,E,1987,0
120 AVENUE C,4,2,3,18,70,18,42,1900,E,0,0
330 WEST 18 STREET,4,0,2,430.33,184,332,175,1966,,1966,0
93 3 AVENUE,5,24,26,52,100,52,84,1920,,1988,0
91 HENRY STREET,6,22,24,25.42,100,25,85,1920,E,1987,0
343 EAST 65 STREET,5,20,20,27,100.42,27,79,1910,,1985,0
232 8 AVENUE,4,5,6,22.33,100,23,59,1920,E,0,0
1450 3 AVENUE,6,89,94,204.33,149.67,199,149.58,1961,,0,0
610 9 AVENUE,1,0,2,45.25,100,45,100,1958,,0,0
146 FORSYTH STREET,5,24,24,25,100.42,25,80,1910,E,1965,0
207 MADISON AVENUE,2,0,1,74.08,150,74,149,1900,E,0,0
44 WEST 91 STREET,3,3,3,18,100.67,18,54,1901,E,0,0
24 EAST 78 STREET,5,1,1,15.17,102.17,15.17,54,1920,E,0,0
301 EAST 52 STREET,5,16,16,73.58,100.42,74,88,1979,,1985,0
266 WEST 73 STREET,4,10,10,17,100,17,72,1920,E,1985,0
415 WEST 146 STREET,4,3,3,12.5,99.92,13,52,1920,,0,0
285 5 AVENUE,16,0,116,197.5,164.33,197,164,1920,,0,0
440 EAST 57 STREET,20,83,86,72,123.17,73,78,1961,,1988,0
470 WEST 144 STREET,4,3,3,17.5,99.92,17.5,55.83,1899,E,0,0
235 CENTRAL PARK NORTH,6,91,91,125,171.83,125,58,1915,E,1984,0
910 RIVERSIDE DRIVE,6,65,65,108.33,142.5,108.33,132.5,1922,,0,0
53 EAST 96 STREET,6,15,19,50,100.92,50,88,1929,,0,0
211 EAST 34 STREET,4,6,7,12.5,98.75,12.5,50,1910,E,0,0
235 WEST 56 STREET,45,482,483,105,320,0,0,1987,,0,0
318 WEST 39 STREET,12,0,12,125,98.75,125,99,1915,,0,0
725 7 AVENUE,5,2,4,25,100,25,87,1920,E,0,0
539 WEST 152 STREET,4,0,1,75,99.92,52,65.33,1926,,0,0
157 EAST 61 STREET,5,1,1,21,100.42,21,57,1930,E,2004,0
144 WEST 125 STREET,5,0,1,49,201.83,49,202,1940,E,1980,0
HARLEM RIVER DRIVE,0,0,0,752.83,400,0,0,0,,0,0
628 10 AVENUE,5,8,10,25.08,75,25,60,1910,E,1987,0
127 WEST 79 STREET,15,125,132,100,102.17,100,100,1926,,1984,0
1160 ST NICHOLAS AVENUE,5,0,1,188.67,278.67,176,66,1961,,1992,1993
158 WEST 120 STREET,3,2,2,16.67,100.92,17,65,1920,,2000,0
48 EAST 63 STREET,5,1,1,14.17,100.42,14.17,56,1899,E,0,0
225 WEST 34 STREET,22,0,139,154,197.5,154,196,1924,,1925,0
1 UNION SQUARE WEST,9,0,60,51.58,116.83,50,117,1900,,1979,0
42 2 AVENUE,3,0,1,43.92,75,44,48,1920,E,0,0
86 2 AVENUE,5,15,19,100,24,24,100,1900,E,1987,0
224 WEST 13 STREET,5,10,10,20,76.25,20,58,1900,E,0,0
2361 FREDRICK DOUGLASS BL,5,10,12,25,100,25,85,1910,E,0,0
53 ORCHARD STREET,5,11,14,25.17,88.08,25,88,1910,E,0,0
211 EAST 4 STREET,5,8,9,20.42,96.17,20,55,1900,E,0,0
280 EAST 10 STREET,6,33,37,50,92.25,50,78,1900,E,1984,0
411 WEST 204 STREET,3,0,1,252,99.92,232,80,1955,,0,0
1093 2 AVENUE,4,11,16,40,60,40,60,1912,,0,0
170 WEST 133 STREET,3,2,2,17,99.92,17,50,1899,E,0,0
274 EAST 4 STREET,8,108,108,198.67,192.33,98,150,1973,,0,0
46 STUYVESANT STREET,4,4,4,33.83,54,34,36,1900,E,1984,0
50 WEST 11 STREET,4,2,2,21.67,94.75,21.67,42,1899,E,0,0
91 5 AVENUE,8,0,10,56.25,100,56,117,1900,,2012,0
447 WEST 48 STREET,5,10,10,25,100.42,25,66,1901,E,0,0
200 CENTRAL PARK WEST,7,0,1,800,960,400,300,1998,E,1973,0
97 AVENUE B,6,30,32,60.42,93,60,80,1900,,1987,1987
158 FRANKLIN STREET,6,5,7,0.05,87,0,0,1920,,0,0
238 EAST 72 STREET,3,1,1,16.67,102.17,16.67,45,1901,E,0,0
81 DELANCEY STREET,5,12,13,47.83,76.06,47,76,1910,,2010,0
24 EAST 125 STREET,3,4,5,20,100.92,20,49,1900,E,2006,0
270 LENOX AVENUE,4,3,4,18,75,18,50,1910,E,2005,0
562 WEST 149 STREET,5,11,11,33.33,99.92,33,87,1920,,1985,0
334 EAST 126 STREET,1,0,1,50,99.92,44,95,1935,E,0,0
1788 AMSTERDAM AVENUE,5,12,13,27,100,27,85,1930,E,0,0
447 EAST 78 STREET,5,15,15,25,102.17,25,68,1910,,0,0
365 9 AVENUE,6,0,2,74.25,125,0,0,1992,,0,0
40 WEST 77 STREET,16,100,102,140.67,104.33,127,84,1928,,1988,0
225 CENTRAL PARK NORTH,6,58,58,125,100,125,88,1926,,0,0
1416 3 AVENUE,4,12,14,39,70,39,70,1925,E,0,0
506 WEST 166 STREET,0,0,0,25,107.83,0,0,0,,0,0
ST NICHOLAS AVENUE,0,0,0,16.71,98.96,0,0,0,,0,0
107 WEST 85 STREET,3,2,2,19,97.5,19,60,1899,E,0,0
223 WEST 138 STREET,3,5,5,17,99.92,17,64,1910,,1982,2009
32 AVENUE A,4,3,4,22,76,22,76,1960,,1990,0
55 EAST 110 STREET,5,0,1,142.16,100.92,120,48,2004,,0,0
355 EAST 62 STREET,4,1,2,16,100.42,16,38,1910,,0,0
189 BROADWAY,0,0,1,46.08,100.67,0,0,0,,0,0
54 WEST 56 STREET,5,6,8,20,100.42,20,78,1900,,0,0
83 WEST 104 STREET,4,4,5,16.25,100.92,16,55,1900,E,0,0
106 WEST 113 STREET,5,29,29,80,100.92,80,88,1900,E,1999,0
304 WEST 137 STREET,3,1,1,15,99.92,15,55,1910,E,0,0
2024 MADISON AVENUE,3,3,3,18,70,18,43,1905,E,2009,0
124 EAST 64 STREET,5,1,1,20,100,20,45,1915,E,0,2010
1313 3 AVENUE,5,14,15,28.08,105,28,88,1910,E,1997,0
345 WEST 46 STREET,3,11,12,19.5,100.42,20,94,1920,E,1985,0
54 EAST 130 STREET,4,4,4,25,99.92,25,60,1900,E,1997,0
257 EAST 7 STREET,5,12,12,24.75,97.5,25,82,1900,E,1988,0
157 EAST 108 STREET,0,0,0,16.75,100.92,0,0,0,,0,0
262 11 AVENUE,5,0,5,197.5,100,172,96,1915,,1987,1996
237 EAST 48 STREET,4,1,1,20,100.42,20,48,1899,E,0,0
2917 FREDRICK DOUGLASS BL,6,9,10,25,100,21,86,1910,E,2003,2008
143 WEST 138 STREET,5,0,1,78,99.92,78,85,1910,,1992,0
419 EAST 119 STREET,4,4,4,25,100.92,25,56,1900,E,1986,0
661 WEST 187 STREET,0,0,0,16.67,94.92,0,0,0,,0,0
630 AMSTERDAM AVENUE,3,0,1,100.67,35,100,35,1910,E,1987,0
423 EAST 12 STREET,4,12,12,24.33,103.25,25,40,1910,E,1987,0
39 GRAMERCY PARK,17,90,92,124,99,110,86,1956,,1988,0
44 EAST 65 STREET,5,8,10,20,100.42,20,98,1920,E,0,0
846 7 AVENUE,5,0,4,25,100,25,100,1910,E,1989,0
244 WEST 104 STREET,6,26,26,40,100.92,40,89,1926,,0,0
WEST 175 STREET,0,0,0,25,65,0,0,0,,0,0
94 BOWERY,5,2,5,24,99.92,24,100,1910,,1985,0
262 WEST 11 STREET,4,3,3,25,95,25,60,1910,E,1989,2005
53 AVENUE D,1,0,1,22,80,22,78,1900,E,0,0
133 EAST 39 STREET,4,2,4,16.75,103,16.75,42,1920,E,0,0
242 WEST 16 STREET,6,45,48,44.58,103.25,22,90,1910,E,1987,0
255 WEST 123 STREET,4,3,3,16.67,100.92,16.67,75,1982,,1999,0
138 DELANCEY STREET,1,0,1,25,100.33,25,100,1900,E,2013,0
1091 LEXINGTON AVENUE,16,97,104,102.17,170,102.17,170,1959,,0,0
51 LITTLE WEST 12 ST,0,0,0,25,103.25,0,0,0,,0,0
53 EAST 95 STREET,6,18,18,41.67,100.67,40,86,1920,E,0,0
304 EAST 116 STREET,4,3,4,20,100.92,20,61,1910,E,1986,0
83 HESTER STREET,5,15,17,42.4,63.6,21,52,1900,E,2003,0
302 DYCKMAN STREET,3,0,1,100,189.08,100,181,1927,E,1964,0
698 10 AVENUE,6.5,9,10,26.75,82,27,70,1910,E,2007,0
366 WADSWORTH AVENUE,5,26,26,56.17,98,57,84,1970,,1985,0
224 EAST 20 STREET,8,11,11,0,0,113,80,1901,,2013,0
210 EAST 95 STREET,5,15,15,25.08,100.67,25,85,1900,E,1988,0
358 5 AVENUE,13,0,63,111.75,100,112,100,1920,,1986,0
157 WEST 119 STREET,5,20,20,27,100.92,27,86,1920,E,1987,0
64 PARK AVENUE,16,0,1,73.13,105,73.13,80,1926,,1997,1993
351 GRAND STREET,4,3,4,21,50,21,50,1910,E,1997,2013
152 EAST 34 STREET,2,0,1,35.92,98.75,35.92,90,1915,,0,0
321 WEST 80 STREET,5,16,16,24,66,24,58,1900,E,0,0
393 MANHATTAN AVENUE,3,2,2,18,50,18,40,1901,,2006,2006
334 WEST 46 STREET,3,6,7,20,100.42,20,48,1920,E,1982,0
233 EAST 111 STREET,4,16,16,25,100.92,25,60,1900,E,1988,0
80 WEST 132 STREET,3,3,3,19,99.92,19,52,1910,,1987,2004
2052 MADISON AVENUE,3,4,4,16.42,75,16,50,1910,E,2007,0
845 3 AVENUE,21,0,34,200.83,110,200,110,1964,,2004,0
443 WEST 21 STREET,3,2,2,19.75,98.75,19.75,42,1910,E,1999,0
183 EAST 117 STREET,0,0,0,19,90,0,0,0,,0,0
458 BROADWAY,9,8,9,30.08,100.17,30,99,1920,,0,0
344 WEST 46 STREET,3,10,11,20,100.42,20,68,1920,E,1986,0
180 STANTON STREET,2,0,1,20,99.5,20,89,1913,,0,0
53 WEST 16 STREET,4,6,7,20,92,20,56,1925,,0,0
313 WEST 88 STREET,4,10,10,19,100.67,19,74,1900,E,0,0
89 MURRAY STREET,32,382,388,206.18,461.45,461.47,206.18,2006,,0,0
78 CATHERINE STREET,4,0,1,191.08,201.25,188,191,1950,E,0,0
247 WEST 113 STREET,6,25,25,50,100.92,50,87,1920,E,1995,0
415 WEST 50 STREET,4,9,10,25,100.42,25,50,1901,E,1987,0
WEST END AVENUE,0,0,0,254.2,60.5,0,0,0,,0,0
HARLEM RIVER DRIVE,0,0,0,1860,1,0,0,0,,0,0
10 BETHUNE STREET,5,15,15,21.92,68,22,64.4,1915,,0,0
43 WOOSTER STREET,7,10,11,49.96,100,49.96,100,1900,,0,0
45 MOTT STREET,5,11,14,25,94.83,25,55,1915,E,0,0
108 WEST 118 STREET,3,11,11,17,100.92,17,49,1920,,1986,0
265 WEST 34 STREET,1,0,1,21.67,78,22,78,1920,,0,0
621 2 AVENUE,3,2,5,24.67,70,24.67,70,1920,E,1958,0
252 EAST 74 STREET,5,5,5,16.5,76.08,17,60,1920,E,0,0
115 BEDFORD STREET,3,1,1,17.58,35.92,17.58,20.92,1901,E,0,0
80 WEST 12 STREET,3,1,1,19.75,103.25,19.75,40,1899,E,0,0
1461 1 AVENUE,20,215,218,127.17,175,122,136,1963,,1987,0
70 WEST 132 STREET,4,3,3,18.75,99.92,18.75,40.91,2000,,0,0
403 WEST 147 STREET,3,2,2,16,74.92,16,55.92,1901,E,0,0
884 2 AVENUE,21,251,262,200.83,100,100,200,1961,,0,0
347 EAST 119 STREET,4,10,10,25,100.92,25,55,1900,,2003,0
290 WEST 4 STREET,3,3,3,20,60,20,42,1899,E,0,0
208 WEST 17 STREET,4,22,22,38,119,38,68,1930,E,1985,0
1520 AMSTERDAM AVENUE,6,22,27,39.92,100,40,98,1905,E,1986,0
227 WEST 61 STREET,4,0,1,225,100.42,225,100,1927,,1981,0
1332 ST NICHOLAS AVENUE,6,56,60,99.92,100,97,87,1920,E,1989,0
702 GREENWICH STREET,1,1,2,19,52,19,52,1900,E,2007,0
310 WEST 106 STREET,16,78,78,84,100.92,84,85,1927,,1984,0
790 5 AVENUE,6,0,1,100.42,225,90,200,1891,,2005,0
260 EAST 78 STREET,5,16,17,24.83,102.17,25,92,1910,E,1960,0
251 SEAMAN AVENUE,6,67,67,150,100,150,82,1939,,1989,0
122 HESTER STREET,6,20,24,50,49.92,50,50,1910,E,0,0
1974 3 AVENUE,4,3,4,19.33,80,19,50,1900,E,0,0
347 WEST 46 STREET,3,6,7,20,100.42,20,60,1920,E,0,0
447 EAST 84 STREET,4,2,2,18.75,102.17,18.75,60,1899,E,2004,0
474 BROADWAY,4,0,4,25.08,100,25,96,1920,E,1985,0
303 EAST 10 STREET,5,14,14,25,94.75,25,50,1900,E,1987,0
513 WEST 152 STREET,3,2,2,15,99.92,15,53.92,1899,E,0,0
117 EDGECOMBE AVENUE,6,6,6,25,85,25,85,2008,,0,0
166 EAST 117 STREET,6,5,5,17,100.92,17,60,2008,E,2008,2008
620 WEST 148 STREET,0,0,0,15,99.92,0,0,0,,0,0
129 LAFAYETTE STREET,12,27,28,112.31,58.33,0,0,1900,,0,0
7 DIVISION STREET,6,0,6,25.75,70.75,26,71,1900,E,1997,2000
142 EAST 62 STREET,5,0,1,100,100.42,100,50,1910,E,0,0
313 WEST 77 STREET,5,11,11,17,102.17,17,88,1920,,0,0
LEONARD STREET,0,0,0,200.58,128.92,0,0,0,,0,0
250 BRADHURST AVENUE,2,0,2,101.92,154.83,102,155,1930,E,0,0
233 EAST 5 STREET,5,10,10,25,97,25,79,1905,E,1961,0
1012 AMSTERDAM AVENUE,6,28,30,70.92,100,70,89,1925,E,1989,0
426 EAST 9 STREET,5,20,20,25,93.92,25,77,1900,E,1983,0
139 WEST 80 STREET,4,10,10,21,102.17,21,68,1900,E,0,0
31 WEST 12 STREET,11.5,23,23,61.5,90.83,62,82,1900,,0,0
238 WEST 139 STREET,3,1,1,17,99.92,17,62,1910,,0,0
225 LENOX AVENUE,3,0,1,50,80,50,80,1910,E,0,0
223 EAST 58 STREET,5,16,18,25,100.42,25,91,1901,E,1964,0
125 ALLEN STREET,6,24,26,25,88.17,25,76,1900,E,1961,0
14 EAST 103 STREET,0,0,0,75,100.92,0,0,0,,0,0
221 WEST 17 STREET,6,0,2,50,110,50,110,1912,,1988,1997
2005 5 AVENUE,3,4,4,18,80,18,48,1900,E,1980,0
12 EAST 80 STREET,6,2,2,20,102.17,20,60,1899,E,2014,0
7 WEST 128 STREET,1,0,1,37.5,99.92,38,94,1910,E,1988,0
43 WEST 87 STREET,4,7,7,20,100.67,20,75,1900,E,1987,0
327 EAST 82 STREET,3,2,2,21,102.17,0,0,1986,,1986,0
1391 2 AVENUE,5,16,18,27.17,75,27,60,1920,E,0,0
234 EAST 74 STREET,4,3,3,16.67,102.17,16.67,50,1899,E,0,0
8 LUDLOW STREET,3,0,2,168.42,87.5,156,87,1927,,0,0
229 EAST 24 STREET,9,10,10,0.04,0,0,0,1984,,0,0
230 EAST 59 STREET,5,4,5,18,100.42,18,60,1900,,1966,0
2342 8 AVENUE,1,0,2,49.92,100,50,70,1994,,0,0
62 PRINCE STREET,1,0,1,47.33,54.92,47,54,2005,,2005,0
2380 BROADWAY,26,156,162,201,100,201,100,1984,,0,0
10 WEST 47 STREET,14,0,88,64.25,100.42,64,100,1925,,1983,0
111 WAVERLY PLACE,4,1,1,25.17,100,25,62,1900,E,2006,2008
150 EAST 116 STREET,5,12,18,25,100.92,25,96,1930,,0,0
57 EAST 55 STREET,5,0,6,33,100.42,33,96,1920,E,1986,0
734 7 AVENUE,2,0,4,45.5,51,46,51,1920,E,1987,0
514 EAST 83 STREET,5,11,11,25,102.17,25,65,1910,,0,0
58 THOMAS STREET,7,6,6,24,100,24,74,2002,,0,0
